horse_id,horse_name,sire,sire_id,sire_sire,sire_dam
2021106382,レインボートパーズ,Ghostzapper,000a010525,Awesome Again(加),Deputy Minister
2021106384,グレイトボヤージュ,リアルインパクト,2008103244,ディープインパクト,サンデーサイレンスSunday Silence(米)
2021106389,シャンパンコール,ダノンレジェンド,2010110102,Macho Uno(米),Holy Bull(米)
2021106394,ワキノノーブル,トウケイヘイロー,2009101682,ゴールドヘイロー,サンデーサイレンスSunday Silence(米)
2021106395,ハッピーサプライズ,レッドファルクス,2011104416,スウェプトオーヴァーボードSwept Overboard(米),エンドスウィープEnd Sweep(米)
2021106398,リンクスプリエール,シュヴァルグラン,2012104759,ハーツクライ,サンデーサイレンスSunday Silence(米)
2021106401,タツアレックス,タツゴウゲキ,2012106426,マーベラスサンデー,サンデーサイレンスSunday Silence(米)
2021106402,アドーネ,エイシンフラッシュ,2007102951,キングズベストKing's Best(米),Kingmambo(米)
2021106405,シュヴァルエレ,シュヴァルグラン,2012104759,ハーツクライ,サンデーサイレンスSunday Silence(米)
2021106406,ラブパラドックス,ビッグアーサー,2011103328,サクラバクシンオー,サクラユタカオー
2021106411,パッセアジル,ディスクリートキャットDiscreet Cat(米),000a0113a1,Forestry,Storm Cat(米)
2021106414,カプリアズーラ,ダノンレジェンド,2010110102,Macho Uno(米),Holy Bull(米)
2021106416,ディスクリーキング,ディスクリートキャットDiscreet Cat(米),000a0113a1,Forestry,Storm Cat(米)
2021106419,ココボロ,ビッグアーサー,2011103328,サクラバクシンオー,サクラユタカオー
2021106420,タマモジャケット,マクフィMakfi(英),000a011c77,Dubawi,Dubai Millennium(英)
2021106421,キタノソワレ,トゥザワールド,2011103975,キングカメハメハ,Kingmambo(米)
2021106425,ムーンウォーク,アドマイヤムーン,2003102991,エンドスウィープEnd Sweep(米),フォーティナイナーForty Niner(米)
2021106433,ピースフルブラボー,サンダースノーThunder Snow(愛),000a013a06,Helmet,Exceed And Excel
2021106435,カマクラバクフ,ヴィクトワールピサ,2007102923,ネオユニヴァース,サンデーサイレンスSunday Silence(米)
